warehouse_id,warehouse_name,region,state,city,storage_capacity_units,current_utilization_pct,warehouse_type,manager_name,operating_cost_monthly_usd,latitude,longitude,utilization_status
WH-01,Ford Detroit Dc,Midwest,Michigan,Detroit,174592,69.5,Distribution Center,Margaret Miller,428315.17,42.3314,-83.0458,Low (60-75%)
WH-02,Gm Midwest Parts Hub,Midwest,Ohio,Toledo,119483,62.7,Distribution Center,Charles Lee,303640.0,41.6639,-83.5552,Low (60-75%)
WH-03,Toyota Southeast Dc,Southeast,Tennessee,Smyrna,160923,93.7,Distribution Center,Michael White,158872.76,35.9829,-86.5186,High (85-95%)
WH-04,Tesla Gigafactory Warehouse,Southwest,Texas,Austin,69497,84.4,Manufacturing Support,Michael Anderson,222116.62,30.2672,-97.7431,Optimal (75-85%)
WH-05,Bmw Spartanburg Parts Hub,Southeast,South Carolina,Spartanburg,154593,66.1,Distribution Center,Jennifer Martin,293133.53,34.9496,-81.9321,Low (60-75%)
WH-06,Ford Kentucky Cross-Dock,Southeast,Kentucky,Louisville,39478,68.8,Cross-Dock,Charles Martin,65643.7,38.2527,-85.7585,Low (60-75%)
WH-07,Gm Alabama Buffer Store,Southeast,Alabama,Lincoln,45860,85.0,Buffer Storage,Karen Wilson,136891.73,33.5743,-86.1183,Optimal (75-85%)
WH-08,Rivian Normal Il Warehouse,Midwest,Indiana,Normal,24196,69.8,Manufacturing Support,Richard Johnson,192233.55,40.5142,-88.9906,Low (60-75%)
WH-09,Toyota Georgetown Dc,Southeast,Kentucky,Georgetown,195207,85.8,Distribution Center,Karen Lopez,484202.85,38.2098,-84.5588,High (85-95%)
WH-10,Ford Texas Regional Dc,Southwest,Texas,Fort Worth,107728,81.4,Distribution Center,James Brown,344023.92,32.7555,-97.3308,Optimal (75-85%)
WH-11,Tesla Fremont Parts Hub,West,California,Fremont,66389,68.7,Manufacturing Support,Maria Wilson,151332.01,37.5485,-121.9886,Low (60-75%)
WH-12,Gm Wentzville Cross-Dock,Midwest,Missouri,Wentzville,12208,86.5,Cross-Dock,Maria Taylor,85597.27,38.8114,-90.8529,High (85-95%)
WH-13,Bmw Southeast Buffer,Southeast,Georgia,Atlanta,39287,64.1,Buffer Storage,Charles Wilson,62015.09,33.749,-84.388,Low (60-75%)
WH-14,Ford Southeast Dc,Southeast,Tennessee,Chattanooga,123001,61.4,Distribution Center,Nancy Davis,166100.92,35.0456,-85.3097,Low (60-75%)
WH-15,Toyota Texas Dc,Southwest,Texas,San Antonio,191356,84.6,Distribution Center,David Lopez,449411.2,29.4241,-98.4936,Optimal (75-85%)
WH-16,Gm Northeast Regional,Northeast,New York,Buffalo,173907,63.4,Distribution Center,Karen Jackson,315960.84,42.8864,-78.8784,Low (60-75%)
WH-17,Ford Michigan Hub,Midwest,Michigan,Lansing,156708,76.6,Distribution Center,Michael Jones,322065.56,42.7325,-84.5555,Optimal (75-85%)
WH-18,Rivian Georgia Parts Hub,Southeast,Georgia,Savannah,42704,75.2,Buffer Storage,Lisa Thomas,84248.26,32.0835,-81.0998,Optimal (75-85%)
WH-19,Gm Ohio Cross-Dock,Midwest,Ohio,Marysville,23879,81.6,Cross-Dock,Lisa Martin,89850.47,40.2367,-83.3671,Optimal (75-85%)
WH-20,Bmw North Carolina Dc,Southeast,North Carolina,Charlotte,64200,61.6,Distribution Center,Linda Williams,372282.78,35.2271,-80.8431,Low (60-75%)
