supplier_id,supplier_name,supplier_region,supplier_country,supplier_type,lead_time_days,defect_rate_pct,reliability_score,delivery_performance_pct,supplier_risk_score,annual_contract_value_usd,primary_component,years_in_contract,certification_status,contact_email
SUP-001,Bosch Automotive,International - Europe,Germany,Tier-1,21,2.06,75.7,84.9,5.25,43224566.91,Electronics/Sensors,9,ISO 9001,johnsonjoshua@taylor.net
SUP-002,Denso Corporation,International - Asia,Japan,Tier-1,29,2.27,73.7,81.6,4.92,49934104.91,HVAC/Thermal Systems,5,IATF 16949,garzaanthony@robinson.org
SUP-003,Magna International,International - Canada/Mexico,Canada,Tier-1,8,0.77,78.0,85.5,3.36,154903959.21,Body & Chassis,3,IATF 16949 + ISO 14001,hoffmanjennifer@gardner.com
SUP-004,BorgWarner,Northeast,USA,Tier-1,12,0.72,86.1,84.8,2.36,197368110.54,Powertrain,1,ISO 9001,helenpeterson@lewis.com
SUP-005,Aptiv,International - Europe,Ireland,Tier-1,19,1.41,75.4,83.7,4.6,153848488.72,Electrical Systems,8,IATF 16949,jamesmichael@munoz-roman.info
SUP-006,Lear Corporation,West,USA,Tier-1,11,1.12,90.4,88.5,2.1,112837360.97,Seating,18,ISO 9001,dudleynicholas@carter.com
SUP-007,Delphi Technologies,International - Europe,UK,Tier-1,26,1.47,80.1,81.4,4.48,81369213.64,Engine Management,14,IATF 16949 + ISO 14001,janetwilliams@mejia.com
SUP-008,Continental AG,International - Europe,Germany,Tier-1,28,3.83,57.3,75.1,8.67,230859187.58,Tires & Chassis,19,Uncertified,jamesshawn@martin-kelly.com
SUP-009,ZF Friedrichshafen,International - Europe,Germany,Tier-1,31,1.64,73.9,82.7,4.33,208040689.74,Transmissions,6,ISO 9001,lynchgeorge@sanchez.net
SUP-010,Valeo,International - Europe,France,Tier-1,41,0.73,84.2,89.1,2.48,201538260.28,Lighting Systems,9,ISO 14001,gabriellecameron@perez.com
SUP-011,Faurecia,International - Europe,France,Tier-1,23,1.58,85.7,88.2,3.48,193961234.94,Interiors,11,IATF 16949,nadams@walter.biz
